DATE,AED,AUD,BHD,BND,BRL,BWP,CAD,CHF,CLP,CNY,COP,CRC,CZK,DKK,DZD,EUR,GBP,HKD,HUF,IDR,ILS,INR,IRR,ISK,JPY,KRW,KWD,KZT,LKR,LVL,LYD,MUR,MXN,MYR,NOK,NPR,NZD,OMR,PEN,PHP,PKR,PLN,QAR,RUB,SAR,SEK,SGD,THB,TND,TRL,TTD,TWD,USD,UYU,VES,XDR,ZAR
1962-09,,0.894454,,,2.176751e-13,,1.07703,4.3236,0.00104997,2.461809,6.7,6.625,,6.92377,,,0.3570026,,,,0.000299999,4.7619,,0.4306,359.0683,130,,,,,,,0.0125,,7.15205,,0.7211885,,,,,0.0004,,,,5.15198,,,,0.00000902,,,1,,,1,0.714286
1962-10,,0.894454,,,2.05558e-13,,1.07626,4.3217,0.00107997,2.461809,6.7,6.625,,6.92425,,,0.3569389,,,,0.000299999,4.7619,,0.4306,358.4183,130,,,,,,,0.0125,,7.15154,,0.7210845,,,,,0.0004,,,,5.15225,,,,0.00000902,,,1,,,1,0.714286
1962-11,,0.893655,,,2.05558e-13,,1.07702,4.3159,0.00107997,2.461809,6.8145,6.625,,6.91802,,,0.3568879,,,,0.000299999,4.7619,,0.4306,358.4183,130,,,,,,,0.0125,,7.14847,,0.7209285,,,,,0.0004,,,,5.16449,,,,0.00000902,,,1,,,1,0.714286
1962-12,,0.893655,,,2.05558e-13,,1.07615,4.3165,0.00108297,2.461809,9,6.625,,6.8975,,,0.356697,,,,0.000299999,4.7619,,0.4306,358.4183,130,,,,,,,0.0125,,7.14286,,0.7205649,,,,,0.0004,,,,5.18726,,,,0.00000902,,,1,,,1,0.714286
1963-01,,0.893655,,,2.05558e-13,,1.07732,4.3253,0.00143796,2.461809,9,6.625,,6.90274,,,0.3565316,,,,0.000299999,4.7619,,0.4306,358.4183,130,,,,,,,0.0125,,7.14286,,0.7202017,,,,,0.0004,,,,5.17786,,,,0.00000902,,,1,,,1,0.714286
1963-02,,0.893655,,,2.05558e-13,,1.07785,4.3247,0.00143796,2.461809,9,6.625,,6.90608,,,0.3567097,,,,0.000299999,4.7619,,0.4306,358.5483,130,,,,,,,0.0125,,7.14541,,0.7205649,,,,,0.0004,,,,5.18403,,,,0.00000902,,,1,,,1,0.714286
1963-03,,0.884454,,,2.05558e-13,,1.07821,4.3286,0.00143696,2.461809,9,6.625,,6.90036,,,0.3570663,,,,0.000299999,4.7619,,0.4306,358.5483,130,,,,,,,0.0125,,7.14541,,0.7212926,,,,,0.0004,,,,5.19103,,,,0.00000902,,,1,,,1,0.714286
1963-04,,0.884454,,,2.233009e-13,,1.07699,4.3292,0.00163895,2.461809,9,6.625,,6.90084,,,0.3570409,,,,0.000299999,4.7619,,0.4306,360.7483,130,,,,,,,0.0125,,7.14337,,0.7212405,,,,,0.0004,,,,5.19454,,,,0.00000902,,,1,,,1,0.714286
1963-05,,0.884454,,,2.683072e-13,,1.07747,4.324,0.00163895,2.461809,9,6.625,,6.90751,,,0.3571556,,,,0.000299999,4.7619,,0.4306,362.5783,130,,,,,,,0.0125,,7.14541,,0.7215528,,,,,0.0004,,,,5.19022,,,,0.00000902,,,1,,,1,0.714286
1963-06,,0.884454,,,2.683072e-13,,1.07849,4.3243,0.00164495,2.461809,9,6.625,,6.90131,,,0.3570409,,,,0.000299999,4.7619,,0.4306,362.8383,130,,,,,,,0.0125,,7.14439,,0.7213966,,,,,0.0004,,,,5.18511,,,,0.00000902,,,1,,,1,0.714286
